English,繁體中文
acupuncture,針灸
moxibustion,艾灸
meridian,經絡
qi,氣
blood,血
body fluid,津液
herbal medicine,中藥
pulse diagnosis,脈診
cupping therapy,拔罐
scraping therapy,刮痧
therapeutic massage,推拿
acupoint,穴位
yin and yang,陰陽
five elements,五行
viscera and bowels,臟腑
heart,心
liver,肝
spleen,脾
lung,肺
kidney,腎
stomach,胃
gallbladder,膽
large intestine,大腸
small intestine,小腸
bladder,膀胱
triple burner,三焦
conception vessel,任脈
governing vessel,督脈
tonify qi,補氣
invigorate blood,活血
clear heat,清熱
detoxify,解毒
dispel wind,祛風
resolve phlegm,化痰
regulate qi,理氣
nourish yin,養陰
warm yang,溫陽
strengthen spleen,健脾
tonify kidney,補腎
soothe liver,疏肝
calm spirit,安神
open orifices,開竅
consolidate exterior,固表
relieve cough,止咳
calm wheezing,平喘
promote urination,利水
reduce swelling,消腫
relieve pain,止痛
dispel cold,散寒
moisten dryness,潤燥
